hitid,workerid,raw_json
668c95d8d24fe59d1423604a,635181926521b3fcfcbc011d,"{'0': {'How Creative?': '48', 'Increased AI use makes you feel': 'More concerned than excited'}, '1': {'PageLoad': '2024-07-09T01:54:27.807Z'}, '2': {'Prompt': 'Bottle', 'Response': []}, '3': {'Prompt': 'Tire', 'Response': []}, '4': {'Prompt': 'Table', 'Response': []}, '5': {'Prompt': 'Shoe', 'Response': []}, '6': {'HideTime': 0}, 'hitId': '668c95d8d24fe59d1423604a', 'feedback': {'q1': 'Somewhat easy', 'q2': 'More excited than concerned', 'q3': '4', 'q4': '63', 'q5': 'asdasd', 'q6': 'asdasd'}, 'workerId': '635181926521b3fcfcbc011d', 'assignmentId': '0yq2ojzzx91f', 'ts_submitted_': '2024-07-09T01:55:12.038Z'}"
668c95d8d24fe59d1423604a,635181926521b3fcfcbc011d,"{'0': {'How Creative?': '38', 'Increased AI use makes you feel': 'More excited than concerned'}, '1': 'Generate Immediate', '2': {'PageLoad': '2024-07-14T18:43:05.962Z'}, '3': {'Prompt': 'Bottle', 'Response': [{'id': 0, 'iid': 0, 'name': 'telescope', 'time': '2024-07-14T18:43:11.694Z'}, {'id': 1, 'iid': 1, 'name': 'magnifying glass', 'time': '2024-07-14T18:43:23.083Z'}]}, '4': {'Prompt': 'Shoe', 'Response': [{'id': 2, 'iid': 0, 'name': 'doorstop', 'time': '2024-07-14T18:45:57.939Z'}]}, '5': {'Prompt': 'Table', 'Response': [{'id': 3, 'iid': 0, 'name': 'garage sale tool', 'time': '2024-07-14T18:48:48.441Z'}]}, '6': {'Prompt': 'Pants', 'Response': [{'id': 4, 'iid': 0, 'name': 'makeshift flag', 'time': '2024-07-14T18:50:13.695Z'}]}, '7': {'HideTime': 0}, 'hitId': '668c95d8d24fe59d1423604a', 'feedback': {'q1': 'Somewhat difficult', 'q2': 'More concerned than excited', 'q3': '4', 'q4': '56', 'q5': 'n/a', 'q6': 'no'}, 'workerId': '635181926521b3fcfcbc011d', 'assignmentId': '0yq2ojzzx91f', 'ts_submitted_': '2024-07-14T18:52:27.060Z'}"
668c95d8d24fe59d1423604a,635181926521b3fcfcbc011d,"{'0': {'How Creative?': '69', 'Increased AI use makes you feel': 'More excited than concerned'}, '1': 'Coach Immediate', '2': {'PageLoad': '2024-07-14T20:29:39.310Z'}, '3': {'Prompt': 'Pants', 'Response': [{'id': 0, 'iid': 0, 'name': 'makeshift flag', 'time': '2024-07-14T20:29:44.390Z'}]}, '4': {'Prompt': 'Tire', 'Response': [{'id': 1, 'iid': 0, 'name': 'hula hoop', 'time': '2024-07-14T20:32:51.262Z'}]}, '5': {'Prompt': 'Table', 'Response': []}, '6': {'Prompt': 'Shoe', 'Response': [{'id': 2, 'iid': 0, 'name': 'doorstop', 'time': '2024-07-14T20:36:49.048Z'}]}, '7': {'HideTime': 0}, 'hitId': '668c95d8d24fe59d1423604a', 'feedback': {'q1': 'Somewhat easy', 'q2': 'More concerned than excited', 'q3': '4', 'q4': '55', 'q5': 'yes', 'q6': 'yes'}, 'workerId': '635181926521b3fcfcbc011d', 'assignmentId': '0yq2ojzzx91f', 'ts_submitted_': '2024-07-14T21:21:09.535Z'}"
668c95d8d24fe59d1423604a,5ef6fed00ea7fe4063853e8c,"{'0': {'How Creative?': '80', 'Increased AI use makes you feel': 'More concerned than excited'}, '1': 'Coach Immediate', '2': {'PageLoad': '2024-07-22T00:10:00.118Z'}, '3': {'Prompt': 'Tire', 'Response': [{'id': 0, 'iid': 0, 'name': 'swing set', 'time': '2024-07-22T00:10:07.163Z'}, {'id': 1, 'iid': 1, 'name': 'building blocks', 'time': '2024-07-22T00:10:18.441Z'}, {'id': 2, 'iid': 2, 'name': 'outdoor seating', 'time': '2024-07-22T00:10:45.415Z'}, {'id': 3, 'iid': 3, 'name': 'wall', 'time': '2024-07-22T00:11:24.472Z'}, {'id': 4, 'iid': 4, 'name': 'garden planter', 'time': '2024-07-22T00:11:32.492Z'}, {'id': 5, 'iid': 5, 'name': 'sandbox', 'time': '2024-07-22T00:11:57.561Z'}]}, '4': {'Prompt': 'Table', 'Response': [{'id': 6, 'iid': 0, 'name': 'flip it over and make a blanket fort', 'time': '2024-07-22T00:12:14.647Z'}, {'id': 7, 'iid': 1, 'name': 'raised platform bed', 'time': '2024-07-22T00:12:30.889Z'}, {'id': 8, 'iid': 2, 'name': 'whiteboard or chalkboard', 'time': '2024-07-22T00:13:36.513Z'}, {'id': 9, 'iid': 3, 'name': 'pool table', 'time': '2024-07-22T00:13:41.861Z'}]}, '5': {'Prompt': 'Shoe', 'Response': [{'id': 10, 'iid': 0, 'name': 'wall decoration', 'time': '2024-07-22T00:14:15.312Z'}, {'id': 11, 'iid': 1, 'name': 'drinking vessel', 'time': '2024-07-22T00:14:20.852Z'}, {'id': 12, 'iid': 2, 'name': 'plant pot', 'time': '2024-07-22T00:14:24.127Z'}, {'id': 13, 'iid': 3, 'name': 'footprint painting', 'time': '2024-07-22T00:14:34.096Z'}, {'id': 14, 'iid': 4, 'name': 'trophy', 'time': '2024-07-22T00:14:51.716Z'}, {'id': 15, 'iid': 5, 'name': 'memento', 'time': '2024-07-22T00:14:55.583Z'}, {'id': 16, 'iid': 6, 'name': 'lamp', 'time': '2024-07-22T00:15:35.843Z'}]}, '6': {'Prompt': 'Bottle', 'Response': [{'id': 17, 'iid': 0, 'name': 'musical instrument', 'time': '2024-07-22T00:17:12.573Z'}, {'id': 18, 'iid': 1, 'name': 'plant pot', 'time': '2024-07-22T00:17:15.335Z'}, {'id': 19, 'iid': 2, 'name': 'heat and turn into another shape to use as hourglass', 'time': '2024-07-22T00:17:29.486Z'}, {'id': 20, 'iid': 3, 'name': 'ship in a bottle', 'time': '2024-07-22T00:17:40.759Z'}, {'id': 21, 'iid': 4, 'name': 'store paper stars inside', 'time': '2024-07-22T00:17:45.534Z'}, {'id': 22, 'iid': 5, 'name': 'storage vessel', 'time': '2024-07-22T00:17:52.426Z'}, {'id': 23, 'iid': 6, 'name': 'flower vase', 'time': '2024-07-22T00:17:57.520Z'}, {'id': 24, 'iid': 7, 'name': 'message in a bottle', 'time': '2024-07-22T00:18:07.889Z'}, {'id': 25, 'iid': 8, 'name': 'ampoule', 'time': '2024-07-22T00:18:28.951Z'}, {'id': 26, 'iid': 9, 'name': 'spray bottle', 'time': '2024-07-22T00:18:31.798Z'}, {'id': 27, 'iid': 10, 'name': 'alcohol storage', 'time': '2024-07-22T00:18:41.970Z'}, {'id': 28, 'iid': 11, 'name': 'broken glass art', 'time': '2024-07-22T00:18:51.215Z'}]}, '7': {'HideTime': 0}, 'hitId': '668c95d8d24fe59d1423604a', 'feedback': {'q1': 'Very easy', 'q2': 'More concerned than excited', 'q3': '4', 'q4': '40', 'q5': 'I think of DIY arts and crafts that I would do with the bottle.', 'q6': 'No.'}, 'workerId': '5ef6fed00ea7fe4063853e8c', 'assignmentId': '669da30c8ef1aabaaafac82a', 'ts_submitted_': '2024-07-22T00:20:00.408Z'}"
668c95d8d24fe59d1423604a,669d0936c4572e0c86f53d83,"{'0': {'How Creative?': '50', 'Increased AI use makes you feel': 'Equally excited and concerned'}, '1': 'Coach Immediate', '2': {'PageLoad': '2024-07-22T00:08:55.219Z'}, '3': {'Prompt': 'Pants', 'Response': [{'id': 0, 'iid': 0, 'name': 'leg warmers', 'time': '2024-07-22T00:09:20.086Z'}, {'id': 1, 'iid': 1, 'name': 'arm warmers', 'time': '2024-07-22T00:09:27.414Z'}, {'id': 2, 'iid': 2, 'name': 'storage', 'time': '2024-07-22T00:09:31.441Z'}, {'id': 3, 'iid': 3, 'name': 'protection', 'time': '2024-07-22T00:09:39.548Z'}, {'id': 4, 'iid': 4, 'name': 'bag', 'time': '2024-07-22T00:10:08.717Z'}, {'id': 5, 'iid': 5, 'name': 'backpack', 'time': '2024-07-22T00:10:14.182Z'}, {'id': 6, 'iid': 6, 'name': 'overalls', 'time': '2024-07-22T00:10:19.759Z'}]}, '4': {'Prompt': 'Bottle', 'Response': [{'id': 7, 'iid': 0, 'name': 'ring toss', 'time': '2024-07-22T00:11:00.701Z'}, {'id': 8, 'iid': 1, 'name': 'vase', 'time': '2024-07-22T00:11:03.937Z'}, {'id': 9, 'iid': 2, 'name': 'storage', 'time': '2024-07-22T00:11:07.741Z'}, {'id': 10, 'iid': 3, 'name': 'toothbrush holder', 'time': '2024-07-22T00:11:12.010Z'}, {'id': 11, 'iid': 4, 'name': 'water bottle', 'time': '2024-07-22T00:11:19.316Z'}, {'id': 12, 'iid': 5, 'name': 'rolling pin', 'time': '2024-07-22T00:11:29.322Z'}, {'id': 13, 'iid': 6, 'name': 'wine bottle', 'time': '2024-07-22T00:12:02.387Z'}]}, '5': {'Prompt': 'Table', 'Response': [{'id': 14, 'iid': 0, 'name': 'desk', 'time': '2024-07-22T00:13:00.391Z'}, {'id': 15, 'iid': 1, 'name': 'fort', 'time': '2024-07-22T00:13:03.037Z'}, {'id': 16, 'iid': 2, 'name': 'protection', 'time': '2024-07-22T00:13:09.390Z'}, {'id': 17, 'iid': 3, 'name': 'homework station', 'time': '2024-07-22T00:13:14.097Z'}, {'id': 18, 'iid': 4, 'name': 'kitchen table', 'time': '2024-07-22T00:13:26.665Z'}, {'id': 19, 'iid': 5, 'name': 'dinner table', 'time': '2024-07-22T00:13:39.484Z'}, {'id': 20, 'iid': 6, 'name': 'shield', 'time': '2024-07-22T00:14:13.360Z'}]}, '6': {'Prompt': 'Shoe', 'Response': [{'id': 21, 'iid': 0, 'name': 'dog toy', 'time': '2024-07-22T00:16:04.982Z'}, {'id': 22, 'iid': 1, 'name': 'shoe', 'time': '2024-07-22T00:16:08.008Z'}, {'id': 23, 'iid': 2, 'name': 'running shoe', 'time': '2024-07-22T00:16:11.560Z'}]}, '7': {'HideTime': 0}, 'hitId': '668c95d8d24fe59d1423604a', 'feedback': {'q1': 'Somewhat difficult', 'q2': 'Equally excited and concerned', 'q3': '3', 'q4': '37', 'q5': 'Just based on what first popped in my head', 'q6': 'No'}, 'workerId': '669d0936c4572e0c86f53d83', 'assignmentId': '669da2d98ef1aabaaafac81e', 'ts_submitted_': '2024-07-22T00:20:27.017Z'}"
668c95d8d24fe59d1423604a,65c266bb091c0f2811ab8d80,"{'0': {'How Creative?': '40', 'Increased AI use makes you feel': 'Equally excited and concerned'}, '1': 'Generate Immediate', '2': {'PageLoad': '2024-07-22T00:10:39.689Z'}, '3': {'Prompt': 'Shoe', 'Response': [{'id': 0, 'iid': 0, 'name': 'Flower pot', 'time': '2024-07-22T00:10:55.767Z'}, {'id': 1, 'iid': 1, 'name': 'Door stopper', 'time': '2024-07-22T00:10:59.234Z'}, {'id': 2, 'iid': 2, 'name': 'Lamp base', 'time': '2024-07-22T00:11:06.461Z'}, {'id': 3, 'iid': 3, 'name': ' Tissue box', 'time': '2024-07-22T00:11:21.292Z'}, {'id': 4, 'iid': 4, 'name': 'filled with concrete and used as an anchor', 'time': '2024-07-22T00:11:40.020Z'}, {'id': 5, 'iid': 5, 'name': 'Beer coozie', 'time': '2024-07-22T00:12:01.520Z'}, {'id': 6, 'iid': 6, 'name': 'vase', 'time': '2024-07-22T00:12:27.954Z'}]}, '4': {'Prompt': 'Tire', 'Response': [{'id': 7, 'iid': 0, 'name': 'flower bed', 'time': '2024-07-22T00:12:47.001Z'}, {'id': 8, 'iid': 1, 'name': 'swing', 'time': '2024-07-22T00:12:50.634Z'}, {'id': 9, 'iid': 2, 'name': 'raised vegetable bed', 'time': '2024-07-22T00:13:17.434Z'}, {'id': 10, 'iid': 3, 'name': 'lined with vinyl and used as a water feature', 'time': '2024-07-22T00:13:38.325Z'}, {'id': 11, 'iid': 4, 'name': 'hidey hole for critters in the yard', 'time': '2024-07-22T00:13:52.165Z'}, {'id': 12, 'iid': 5, 'name': 'filled with concrete and used as a weight for a backyard canopy', 'time': '2024-07-22T00:14:29.350Z'}, {'id': 13, 'iid': 6, 'name': 'bird bath', 'time': '2024-07-22T00:14:34.036Z'}]}, '5': {'Prompt': 'Bottle', 'Response': [{'id': 14, 'iid': 0, 'name': 'vase', 'time': '2024-07-22T00:14:45.935Z'}, {'id': 15, 'iid': 1, 'name': 'decorative light', 'time': '2024-07-22T00:15:05.325Z'}, {'id': 16, 'iid': 2, 'name': 'meat tenderizer', 'time': '2024-07-22T00:15:12.751Z'}, {'id': 17, 'iid': 3, 'name': 'rolling pin', 'time': '2024-07-22T00:15:23.903Z'}, {'id': 18, 'iid': 4, 'name': 'emergency candle holder', 'time': '2024-07-22T00:15:45.456Z'}, {'id': 19, 'iid': 5, 'name': 'fruit fly trap', 'time': '2024-07-22T00:16:05.955Z'}, {'id': 20, 'iid': 6, 'name': '""boogeyman catcher"" to help kids sleep', 'time': '2024-07-22T00:16:41.741Z'}]}, '6': {'Prompt': 'Table', 'Response': [{'id': 21, 'iid': 0, 'name': 'shelter', 'time': '2024-07-22T00:17:54.446Z'}, {'id': 22, 'iid': 1, 'name': 'boat for a game of pretend', 'time': '2024-07-22T00:18:03.137Z'}, {'id': 23, 'iid': 2, 'name': 'sled', 'time': '2024-07-22T00:18:14.525Z'}, {'id': 24, 'iid': 3, 'name': 'flipped upside down, wrapped with packing shrink wrap, and used to grow potatoes', 'time': '2024-07-22T00:18:57.210Z'}, {'id': 25, 'iid': 4, 'name': 'flipped on the side and used as a hiding spot', 'time': '2024-07-22T00:19:16.813Z'}, {'id': 26, 'iid': 5, 'name': 'covered with sheet for a tent', 'time': '2024-07-22T00:19:42.368Z'}]}, '7': {'HideTime': 0}, 'hitId': '668c95d8d24fe59d1423604a', 'feedback': {'q1': 'Somewhat difficult', 'q2': 'Equally excited and concerned', 'q3': '4', 'q4': '40', 'q5': 'I thought about what I might use it for.', 'q6': 'no'}, 'workerId': '65c266bb091c0f2811ab8d80', 'assignmentId': '669da3045a8279d758645827', 'ts_submitted_': '2024-07-22T00:20:42.318Z'}"
